Date,GC=F,CL=F,BZ=F,NG=F,RB=F
2010-05-09,1210.0,75.11000061035156,78.2699966430664,4.014999866485596,2.1250998973846436
2010-05-10,1200.4000244140625,76.80000305175781,80.12000274658203,4.170000076293945,2.172600030899048
2010-05-11,1219.9000244140625,76.37000274658203,80.48999786376953,4.13100004196167,2.195199966430664
2010-05-12,1242.699951171875,75.6500015258789,81.19999694824219,4.283999919891357,2.210400104522705
2010-05-13,1228.800048828125,74.4000015258789,80.11000061035156,4.339000225067139,2.1951000690460205
2010-05-14,1227.4000244140625,71.61000061035156,77.18000030517578,4.311999797821045,2.1308000087738037
2010-05-15,1227.4000244140625,71.61000061035156,77.18000030517578,4.311999797821045,2.1308000087738037
2010-05-16,1227.4000244140625,71.61000061035156,77.18000030517578,4.311999797821045,2.1308000087738037
2010-05-17,1227.699951171875,70.08000183105469,75.0999984741211,4.3979997634887695,2.043100118637085
2010-05-18,1214.300048828125,69.41000366210938,74.43000030517578,4.3420000076293945,2.043100118637085
2010-05-19,1192.5999755859375,69.87000274658203,73.69000244140625,4.1579999923706055,2.015199899673462
2010-05-20,1187.800048828125,68.01000213623047,71.83999633789062,4.105999946594238,1.9644999504089355
2010-05-21,1175.699951171875,70.04000091552734,71.68000030517578,4.034999847412109,1.9611999988555908
2010-05-22,1175.699951171875,70.04000091552734,71.68000030517578,4.034999847412109,1.9611999988555908
2010-05-23,1175.699951171875,70.04000091552734,71.68000030517578,4.034999847412109,1.9611999988555908
2010-05-24,1193.800048828125,70.20999908447266,71.16999816894531,4.017000198364258,1.9708000421524048
2010-05-25,1197.800048828125,68.75,69.55000305175781,4.051000118255615,1.930799961090088
2010-05-26,1213.300048828125,71.51000213623047,71.73999786376953,4.15500020980835,1.9703999757766724
2010-05-27,1211.9000244140625,74.55000305175781,74.66000366210938,4.294000148773193,2.0388998985290527
2010-05-28,1212.199951171875,73.97000122070312,74.0199966430664,4.341000080108643,2.0197999477386475
2010-05-29,1212.199951171875,73.97000122070312,74.0199966430664,4.341000080108643,2.0197999477386475
2010-05-30,1212.199951171875,73.97000122070312,74.0199966430664,4.341000080108643,2.0197999477386475
2010-05-31,1212.199951171875,73.97000122070312,74.0199966430664,4.341000080108643,2.0197999477386475
2010-06-01,1224.800048828125,72.58000183105469,72.70999908447266,4.248000144958496,1.9824999570846558
2010-06-02,1220.5999755859375,72.86000061035156,73.75,4.423999786376953,2.026099920272827
2010-06-03,1208.300048828125,74.61000061035156,75.41000366210938,4.690000057220459,2.081199884414673
2010-06-04,1216.199951171875,71.51000213623047,72.08999633789062,4.796999931335449,1.995300054550171
2010-06-05,1216.199951171875,71.51000213623047,72.08999633789062,4.796999931335449,1.995300054550171
2010-06-06,1216.199951171875,71.51000213623047,72.08999633789062,4.796999931335449,1.995300054550171
