,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC,^SP500-45,^SP500-45,^SP500-45,^SP500-45,^SP500-45
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,
07/06/2021,4178.647322591146,4195.639680989583,4160.235986328125,4178.885725911458,4442694000.0,2419.25732421875,2437.4183430989583,2399.107316080729,2417.5739908854166,410227733.3333333
08/06/2021,4180.273331705729,4197.058024088542,4161.104329427083,4180.207047526042,4473070666.666667,2417.5739908854166,2435.9290120442706,2397.223982747396,2415.43798828125,409614520.0
09/06/2021,4181.764672851563,4198.516015625,4162.521663411459,4181.3013671875,4506489333.333333,2415.43798828125,2434.1013427734374,2395.571980794271,2413.584326171875,406843806.6666667
10/06/2021,4183.212003580729,4200.123030598958,4163.806998697916,4183.168033854166,4527184333.333333,2413.584326171875,2433.050008138021,2394.568644205729,2413.1493245442707,402369070.0
11/06/2021,4184.437329101563,4201.109700520833,4165.654996744792,4184.367024739583,4511062000.0,2413.1493245442707,2432.263680013021,2394.993644205729,2413.1959879557294,395783216.6666667
14/06/2021,4186.110994466146,4203.026025390625,4167.628987630208,4186.833024088542,4506072666.666667,2413.1959879557294,2433.178678385417,2396.1499755859377,2415.2893229166666,391740460.0
15/06/2021,4188.2209879557295,4204.618359375,4169.306331380209,4188.630680338541,4505363333.333333,2415.2893229166666,2434.6306722005206,2397.968310546875,2417.02265625,388282430.0
16/06/2021,4190.548657226563,4207.046695963541,4171.768343098958,4190.598681640625,4508226333.333333,2417.02265625,2436.6940022786457,2400.8233154296877,2419.8653238932293,383717046.6666667
17/06/2021,4191.992325846354,4208.532356770834,4172.938671875,4192.407682291667,4544285000.0,2419.8653238932293,2440.0110026041666,2403.7343180338544,2423.8066569010416,387311850.0
18/06/2021,4193.180314127604,4208.601676432291,4173.507666015625,4191.2353515625,4621152000.0,2423.8066569010416,2443.1210042317707,2407.418318684896,2426.154996744792,395893153.3333333
21/06/2021,4191.948982747396,4208.208349609375,4172.566324869792,4190.975016276042,4624914333.333333,2426.154996744792,2445.2913411458335,2409.2839925130206,2428.757991536458,395822516.6666667
22/06/2021,4191.826310221354,4208.856673177083,4173.537662760416,4192.908675130208,4600504000.0,2428.757991536458,2448.699674479167,2413.8219970703126,2434.1696614583334,391910650.0
23/06/2021,4195.1239827473955,4212.008675130209,4177.86767578125,4195.9,4562492000.0,2434.1696614583334,2454.3266764322916,2420.6526611328127,2439.6776611328123,384711233.3333333
24/06/2021,4199.337996419271,4216.560335286458,4184.537353515625,4202.681673177083,4531945000.0,2439.6776611328123,2460.639013671875,2428.624658203125,2447.9966634114585,378564976.6666667
25/06/2021,4205.986669921875,4221.711669921875,4191.076359049479,4208.288346354167,4617342000.0,2447.9966634114585,2467.391015625,2436.718994140625,2455.133333333333,377345616.6666667
28/06/2021,4211.163997395834,4225.345345052084,4195.912687174479,4212.180338541667,4621975666.666667,2455.133333333333,2473.604012044271,2443.8556640625,2461.5606689453125,374867506.6666667
29/06/2021,4215.273665364583,4229.632014973959,4200.724357096354,4216.463997395834,4608045666.666667,2461.5606689453125,2480.678678385417,2451.3873291015625,2469.149666341146,373184586.6666667
